==================================================
Task Execution Time : 2026-07-09 14:42:05
Task Identifier     : manual_putney_wandsworth_current_0
Requested Target    : current
Actual Capture Date : 2020-04-11
Zoom Level          : 18
Bounding Box (4326) : (np.float64(-0.235), np.float64(51.45), np.float64(-0.17), np.float64(51.4825))
Total Patches Found : 269
--------------------------------------------------
[Original Log Entries]
T243 ges_65468_84277_18.jpg: 2020-04-11 Ok
T244 ges_65468_84278_18.jpg: 2020-04-11 Ok
T245 ges_65468_84279_18.jpg: 2020-04-11 Ok
T246 ges_65468_84280_18.jpg: 2020-04-11 Ok
T287 ges_65472_84269_18.jpg: 2020-04-11 Ok
T288 ges_65472_84270_18.jpg: 2020-04-11 Ok
T289 ges_65472_84271_18.jpg: 2020-04-11 Ok
T292 ges_65472_84274_18.jpg: 2020-04-11 Ok
T293 ges_65472_84275_18.jpg: 2020-04-11 Ok
T296 ges_65472_84278_18.jpg: 2020-04-11 Ok
T297 ges_65472_84279_18.jpg: 2020-04-11 Ok
T298 ges_65472_84280_18.jpg: 2020-04-11 Ok


